 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,1,YAL012W,0.9983154502589018,0.9985689911142563,0.9995236204533232,0.998657329075625
 ,2,YDR384C,1.0,0.9999999999640864,0.9999999999493782,1.0000000005765075
 ,3,YHR163W,1.0,1.000000000004159,1.0,0.9999999994404831
 ,4,YOR011W,1.0,0.9999999999391055,0.9999999999426884,1.0
 ,5,YDR050C,0.0,0.0,0.0,0.0
 ,6,YMR323W,1.000000000011663,1.00000000000244,1.000000000005401,1.0000000006426777
 ,7,YLL062C,1.000000000027821,1.000000000100548,1.0000000001214775,1.0000000007078886
 ,8,YHR067W,1.0000000000085087,1.000000000062664,1.0,1.0000000007078886
 ,9,YBR213W,1.0,0.9999999999799724,1.0,1.0000000007078886
 ,10,YDR481C,1.0000000001030716,1.0000000000652838,1.0000000000092792,1.0000000004020089
 ,11,YER014W,1.0,0.999999999935308,1.0,1.0000000009731158
 ,12,YMR205C,0.0,0.0,1.0,1.000000000941181
 ,13,YIL094C,0.0,0.0,0.0,0.0
 ,14,YCR005C,1.0000000000207099,1.0000000000238407,1.000000000143039,1.0000000000354743
 ,15,YPL040C,1.0,1.0000000000060723,0.9999999998745784,1.0000000001575025
 ,16,YNL003C,1.0000000000462932,1.0000000000229152,1.0,1.00000000005183
 ,17,YDR503C,1.0,0.9999999998974328,1.0,0.9999999998346121
 ,18,YJL212C,1.0,0.9999999999844739,1.0,0.9999999998346121
 ,19,YPL244C,1.0000000000497289,0.9999999999981227,1.0,0.9999999998346121
 ,20,YDL238C,0.9999999999407899,0.9999999999992986,0.9999999999193595,0.9999999998346121
 ,21,YJR153W,1.0000000000462614,1.0,1.0000000001807106,0.9999999998346121
 ,22,YLR089C,1.0000000000868632,0.9999999999660083,0.9999999998557276,0.9999999998346121
 ,23,YDR513W,0.9999999999593175,1.0000000000163962,0.9999999999141096,0.9999999998346121
 ,24,YEL058W,1.0000000000189284,1.0,0.9999999997923857,0.9999999998346121
 ,25,YKL024C,0.0,0.0,0.0,0.0
 ,26,YLR395C,0.692343919276355,0.6559809138621768,0.0,0.0
 ,27,YDR305C,0.9999999999889826,1.000000000057351,0.9999999999623329,1.000000000077951
 ,28,YLR348C,0.9999999999374143,0.9999999999562691,1.0000000000035114,0.9999999996042079
 ,29,YBR121C,1.0000000001275973,1.0000000000007863,0.999999999953368,0.9999999998685043
 ,30,YEL042W,1.0,0.9999999999697169,0.9999999999100483,1.0000000001233433
 ,31,YLR382C,1.0,1.0,1.0000000000310825,0.999999999220827
 ,32,YKL188C,1.0,0.999999999936309,1.0000000000983904,0.999999999220827
 ,33,YFL045C,0.0,0.0,0.0,0.0
 ,34,YMR015C,1.0000000000267817,0.9999999999503435,1.0000000002046159,0.9999999990215236
 ,35,YBL033C,0.0,0.0,0.0,-6.780351868043277e-12
 ,36,Q0085,0.7313847315259462,0.7062167700059799,0.09789300690433263,0.0
 ,37,YBR117C,1.0000000000927347,0.9999999999866488,0.9999999999862171,0.9999999980147001
 ,38,YIL124W,1.0000000000074647,1.000000000039398,0.9999999999974273,0.9999999997631682
 ,39,Q0080,0.7313847315259462,0.7062167699444405,0.09789300690433263,0.0
 ,40,YGR194C,1.0000000000313558,0.9999999998167258,0.9999999999862171,0.9999999995516535
 ,41,YMR009W,0.9999999999601598,0.9999999999657364,1.0000000000113451,0.9999999997368768
 ,42,YPL274W,1.0000000000558924,1.0,1.000000000169248,0.9999999997368768
 ,43,YAR073W,1.0000000000015037,1.0000000000435103,1.0000000000006872,0.9999999997510141
 ,44,YJL219W,1.0,1.0,1.000000000024262,0.9999999997368768
 ,45,YEL051W,0.9999999999927784,1.0,1.000000000024262,0.9999999997368768
 ,46,YDR046C,1.0000000000682836,0.9999999999675862,1.000000000024262,0.9999999997368768
 ,47,YKL203C,1.00000000003944,0.9999999999999998,1.000000000024262,0.9999999997368768
 ,48,YOR202W,1.0,1.0,1.000000000024262,0.9999999997368768
 ,49,YGL245W,0.9999999999976726,0.999999999914213,1.000000000024262,0.9999999997368768
 ,50,YER081W,0.9999999999950733,0.99999999993477,1.000000000024262,0.9999999997368768
 ,51,YJL070C,1.0000000000008205,1.0000000000148563,1.000000000024262,0.9999999997368768
 ,52,YNL241C,1.0000000000491198,1.0,1.000000000024262,0.9999999997368768
 ,53,YER070W,1.0,1.0000000000208173,1.0000000001338807,1.0000000002141793
 ,54,YPL262W,0.8885601543850347,0.8864069985353668,0.9910920916986313,0.0
 ,55,YPL036W,1.000000000118842,0.9999999999552193,1.0000000001177929,1.0000000000298377
 ,56,YKL029C,1.0000000000512952,1.0000000000488252,1.0000000000699765,0.9985449824334106
 ,57,YHR025W,0.0,0.0,0.0,0.0
 ,58,YHL036W,1.0,1.0000000000215459,1.0000000000295188,1.0000000003921279
 ,59,YML056C,1.0,1.0000000000988973,1.0000000001585923,1.0000000005926695
 ,60,YML059C,1.0,0.9999999998624169,0.9999999999139968,1.0000000004534306
 ,61,YIL074C,1.0,1.0000000000241636,1.0000000000386882,1.0000000003176508
 ,62,YKL104C,1.0,0.9999999999814712,1.0000000000152705,1.0000000003176508
 ,63,YCL040W,0.9999999999901154,0.9999999999979882,1.0000000000152705,1.0000000003176508
 ,64,YLR447C,1.0,1.000000000023425,1.0000000000152705,1.0000000003176508
 ,65,YOL058W,0.0,0.0,0.0,0.0
 ,66,YAR035W,1.0000000000671938,0.9999999999996431,1.0000000000535894,0.999999999789877
 ,67,YCR012W,0.0,0.0,0.0,0.0
