 ,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,171,YOR128C,4.8161234149859106e-08, ,-7.029771232632507e-13,-4.998801999632568e-09,0.0
 ,172,YDL171C,0.999999999167127, ,0.9999999969950643,0.9999999977342819,1.00000000000005
 ,173,YML082W,0.999999999167127, ,0.9999999969950643,0.99999999773428,1.00000000000005
 ,174,YBR021W,0.0, ,-6.831380730871392e-10,0.0,1.6866506911416123e-08
 ,175,YLL057C,0.9999999998115545, ,0.9999999991806221,0.9999999977343478,1.0000000000014535
 ,176,YEL039C,0.9999999985415501, ,1.0000000060015557,0.9999999977343416,1.0000000000610056
 ,177,YPL061W,0.9985829071985661, ,0.9985829070210114,0.999165364918171,0.9521103825151629
 ,178,YBR296C,0.9999999997062448, ,0.9999999997640575,0.9999999977343469,1.0000000000006721
 ,179,YLR308W,0.9999999997062448, ,0.9999999997640575,0.9999999977343469,1.0000000000006721
 ,180,YDR454C,-4.098083458058859e-13, ,0.0,0.0,0.0
 ,181,YNL277W,0.9999999983883264, ,0.9999999997641073,0.9999999977343911,1.0000000006009635
 ,182,YER055C,0.999999999703224, ,0.9999999953913786,0.9999999977343251,1.0000000000000322
