mai,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,110,YGR010W,1,1,1,1.000000006,1
 ,111,YBR019C,1,1,0,1.000000006,1
 ,112,YER119C,1,0.999999986,1.000000003,1.000000006,1
 ,113,YDR380W,1,1,1,1.000000006,1.000000022
 ,114,YGR191W,1,1,1,1.000000006,1.000000022
 ,115,YAL060W,1,1,1,1.000000006,1.000000022
 ,116,YMR006C,1,1,1,1.000000006,1.000000022
 ,117,YJR130C,1,1,1,1.000000006,1.000000022
 ,118,YOR388C,1.000000002,1,1.000000003,1.000000006,1
 ,119,YHR063C,1,1,1.000000001,1.000000009,1
 ,120,YIL172C,1.000000004,1,1,1.000000006,1
 ,121,YLR011W,1,1,1,1.000000006,1
 ,122,YJL134W,1,1,1,1.000000023,1
 ,123,YKL146W,1,1,1,1.000000006,1.000000007
 ,124,YBL068W,1,1,1,1.000000006,1
 ,125,YPR183W,0,0,0,0,0
 ,126,YHR104W,1.00000001,1,1,1.000000006,1.000000001
 ,127,YDL004W,0.822271213,0.822271213,0.822271217,0.401941718,0
 ,128,YEL017C-A,0.999999999,1,1,1.000000001,1
 ,129,YJL166W,0.762713431,0.762713431,0.762713431,0,0
 ,130,YJL200C,1,1,1,1.000000006,1.000000052
 ,131,YKL080W,1,0.999999998,1,1.000000009,1
 ,132,YDR403W,1,0.999999998,1,1.000000009,1
 ,133,YGR096W,1,1,1,1.000000006,1
 ,134,YPL059W,1,0.999999998,1,1.000000009,1
 ,135,YLR377C,1,0.999999998,1,0,2.09E-09
 ,136,YGL205W,1,0.999999998,1,1.000000006,1
 ,137,YIL125W,0.986498102,0.986498099,0.986498102,1.000000006,0.999999931
 ,138,YDL210W,0,1,1,1.000000006,0.999999914
 ,139,YDR376W,1,1,1,1.000000006,1
 ,140,YKR058W,0.999999991,1,1,1.000000009,1
 ,141,YKL194C,1,1,0.999999999,1.000000006,1
 ,142,YHR208W,1,1,1,1.000000006,1
 ,143,YNR013C,1,1,1,1.000000006,1
 ,144,YPL148C,1,0.999999997,1,1.000000006,1
 ,145,YPL271W,0.822271211,0.822271212,0.822271217,0.401941763,0
 ,146,YLL061W,1,1,1,1.000000006,1.000000001
 ,147,YAL062W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,148,YLR237W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,149,YDR531W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,150,YIL013C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,151,YFL055W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,152,YOL136C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,153,YOR221C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,154,YOR071C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,155,YPL214C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,156,YBR293W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,157,YGL084C,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,158,YPL092W,1,1,1.000000002,1.000000004,1
 ,159,YGR019W,1,1.000000007,0.999999993,1.000000006,0.999999999
 ,160,YGL191W,0.75718038,0.75718038,0.75718038,0,0
 ,161,YOL064C,0.999999999,1,1,1.000000006,1
 ,162,YDL142C,1,1,1,1.000000006,1
 ,163,YMR056C,1,1,0.999999997,1.000000006,1
 ,164,YJR001W,0.999999999,1,1.000000002,1.000000004,1
 ,165,YHR123W,0.999999991,1,1,1.000000009,1
 ,166,YDL174C,0.999999991,1,1,1.000000009,1
 ,167,YER091C,0.999999991,1,1,1.000000009,1
 ,168,YGR256W,1,1,0.999999991,1.000000006,0.999999999
 ,169,YLR209C,0.999999991,1,1,1.000000009,1
 ,170,YDL103C,0.999999991,1,1,1.000000009,1
 ,171,YOR128C,3.96E-12,-2.58E-12,2.52E-09,0,-6.94E-09
 ,172,YDL171C,0.999999991,1,1,1.000000009,1
 ,173,YML082W,0.999999991,1,1,1.000000009,1
 ,174,YBR021W,1.71E-09,0,0,0,0
 ,175,YLL057C,1,1,0.999999996,1.000000006,1
 ,176,YEL039C,0.999999996,1,0.999999994,1.000000006,1
 ,177,YPL061W,0.998582907,0.998582907,0.998582907,0.999165372,0.952110382
 ,178,YBR296C,1,1,1,1.000000006,1
 ,179,YLR308W,1,1,1,1.000000006,1
 ,180,YDR454C,0,0,0,0,0
 ,181,YNL277W,1,0.999999999,1,1.000000006,1
 ,182,YER055C,1,1,1,1.000000004,1
 ,183,YHR011W,1,1,1,1.000000004,1
 ,184,YLL012W,1,1,1,1.000000004,1
 ,185,YLR438W,0.999484995,0.999484995,0.999484991,0.999513238,0.999642333
 ,186,YJL052W,1,1,0.999999997,1.000000006,1
 ,187,YJL088W,0,0,0,0,0
 ,188,YDR226W,0,0,1.29E-09,0,0
 ,189,YJR105W,0.999766045,0.99976604,0.999766042,0.999778877,0.999837544
 ,190,YGL186C,1.000000005,1,1,1.000000006,1.000000002
 ,191,YMR062C,0,0,0,0,0
 ,192,YDR234W,0,0,0,0,0
 ,193,YGR209C,1,1,1.000000009,1.000000008,0.999999999
 ,194,YLR305C,1,1,1.000000009,1.000000008,0.999999999
 ,195,YOL140W,0,0,0,0,0
 ,196,YIR029W,0.999999999,1,1.000000004,1.000000005,1
 ,197,YGR155W,0,0,0,0,0
 ,198,YBR036C,1,1,1,1.000000006,1
 ,199,YMR300C,-2.58E-12,-4.32E-13,1.51E-12,1.53E-06,0
 ,200,YGR032W,1,0.999999999,1,1.000000006,1
 ,201,YGR267C,0,0,0,0.000166472,0
 ,202,YGR125W,1,1,1.000000001,0.999999996,1
 ,203,YNL292W,1,1,1,1.000000006,1
 ,204,YLR342W,1,1,1,1.000000006,1
 ,205,YPR006C,1.000000003,1,1.000000001,1.00000003,1
 ,206,YCR028C,1.000000003,1,1.000000001,1.00000003,1
 ,207,YJL153C,0.00062822,0.00062822,0.00062822,0.002126978,0.006204238
 ,208,YML054C,1,1,1,1.000000004,1
 ,209,YAL023C,1,1,1.000000011,1.000000006,1.000000001
 ,210,YDL181W,0.822271217,0.822271217,0.822271218,0.401941729,0
 ,211,YHR074W,1,0.999999999,1,1.000000004,1
 ,212,YFR030W,0.999999997,1,1.000000001,1.000000006,1
 ,213,YBR256C,0,0,0,0,0
 ,214,YPR113W,0,0,0,0,0
 ,215,YOR236W,6.83E-10,0,0,-2.31E-09,0
 ,216,YBR038W,1,1,1,1.000000009,1
 ,217,YBR244W,1,1,1,1.000000009,1
 ,218,YPL053C,1,1,1,1.000000009,1
 ,219,YMR246W,1,1,1,1.000000009,1
 ,220,YPR020W,1,1,1,1.000000009,1
 ,221,YKL085W,1,1,1,1.000000004,0.99999999
 ,222,YLR027C,0.999645612,0.999645612,0.999645609,0.992268197,0.996622782
 ,223,YBR284W,1,1,0.999999996,1.000000007,1.000000003
 ,224,YEL047C,1,1,1,1.000000007,1
 ,225,YLR351C,1,1,1,1.000000006,0.999999998
 ,226,YBL064C,1,1,1,1.000000006,1
 ,227,YPR036W,1,0.999999999,1,1.000000006,1
 ,228,YNL130C,1,1,1,1.000000004,1
 ,229,YHR018C,0,0,0,0,0
 ,230,YDR408C,0,7.36E-12,8.35E-13,0,7.08E-08
 ,231,YLR157C,1,1,1,1.000000012,0.999999999
 ,232,YHR002W,0.999051078,0.999051078,0.999051078,0.999103092,0.999770665
 ,233,YBR126C,0,0,0,0,0
 ,234,YLL041C,0.981413212,0.981413212,0.981413212,1.00000001,0
 ,235,YDL055C,0,0,0,0,0
 ,236,YGL202W,1,0.999999998,1,1.000000045,0.999999996
 ,237,YNL141W,1,1,1,1.000000045,1
 ,238,YMR318C,0.999999997,1,1,1.000000012,1.000000007
 ,239,YCL018W,1,1,1.000000001,0.999999996,1
 ,240,YBR294W,1,1,1.000000001,0.999999996,1
 ,241,YDL067C,0.75718038,0.75718038,0.757180381,0,0
 ,242,YJL130C,1,1,1,1.000000006,1
 ,243,YKL060C,0.244634905,0.244634905,0.186053782,1.04E-08,4.77E-10
 ,244,YOL020W,0.999999998,1,1,1.000000005,1
 ,245,YDR135C,1,1.00000001,1,1.000000017,1.000000001
 ,246,YFL011W,1,1.00000001,1,1.000000017,1.000000001
 ,247,YEL021W,1,1.00000001,1,1.000000017,1.000000001
 ,248,YBL030C,1,1.00000001,1,1.000000017,1.000000001
 ,249,YMR256C,0.75718038,0.75718038,0.757180381,0,0
 ,250,YJR159W,0.999999994,1.000000001,1,1.000000005,1
 ,251,YNL270C,1,0.999999999,0.999999996,1.000000006,1
 ,252,YJL071W,1,0.999999999,0.999999996,1.000000006,1
 ,253,YKL182W,0,0,0,0,0
 ,254,YOR303W,1,1,1.000000008,1.000000006,1.000000004
 ,255,YPL275W,1,1,1.000000008,1.000000006,1.000000004
 ,256,YFR025C,1.000000001,1,1,1.000000006,1
 ,257,YMR013C,0.999999999,1,1,1.000000006,1.000000001
 ,258,YDR322C-A,0.999999999,1,1,1.000000006,1.000000001
 ,259,YER073W,0.999999999,1,1,1.000000006,1.000000001
 ,260,YLR260W,0.999999999,1,1,1.000000006,1.000000001
 ,261,YPL117C,0,0,0,0,0
 ,262,YGR007W,1,1,1.000000005,1.000000006,1
 ,263,YKL152C,1,1,0.999999996,1.000000006,1
 ,264,YLR450W,1,1,1,1.000000006,1
 ,265,YJR019C,1,1,1,1.000000006,1
 ,266,YBL098W,1,1,1,1.000000006,1
 ,267,YDL095W,1,1,1,1.000000006,1
 ,268,YOR270C,1,1,1,1.000000006,1
 ,269,YGL224C,1,1,1,1.000000006,1
 ,270,YNL268W,1,1,1,1.000000006,1
 ,271,YHR020W,1,1,1,1.000000006,1
 ,272,YKR039W,1,1,1,1.000000006,1
 ,273,YPL087W,1,1,1,1.000000006,1
 ,274,YDL178W,1,1,1,1.000000006,1
 ,275,YLL043W,1,1,0.999999996,1.000000006,1
 ,276,YPL258C,1,1,1.000000002,1.000000004,1
 ,277,YNR056C,1,1,1,1.000000006,1
 ,278,YML086C,1,1,1,1.000000006,1
 ,279,YPL097W,1,1,1,1.000000006,1
 ,280,YDR268W,1,1,1,1.000000006,1
 ,281,YJL216C,1,1,1,1.000000006,1
 ,282,YJL221C,0.999999999,1,1,1.000000028,1.000000006
 ,283,YER141W,1,1,1,1.000000006,1
 ,284,YDR204W,1,1,1,1.000000006,1
 ,285,YNL220W,5.02E-08,8.05E-13,7.75E-12,5.95E-08,0
 ,286,YMR293C,1,1,1.000000006,1.000000007,1.000000045
 ,287,YDR343C,1,1,1.000000006,1.000000007,1.000000045
 ,288,YGR060W,0,0,0,0,0
 ,289,YAL038W,1,1,1,1.000000008,1
 ,290,YCL064C,1,1,1,1.000000008,1
 ,291,YER174C,1,1,1,1.000000008,1
 ,292,YGL119W,1.000000009,1.000000006,1.000000001,1.000000007,1
 ,293,YML126C,0,0,0,0,0
 ,294,YHR044C,1.00000001,1.000000006,1.00000001,0.999999985,1
 ,295,YFR019W,1,1,1,1.000000006,1
 ,296,YNR019W,1,1,1,1.000000006,1
 ,297,YJR152W,1,1,1,1.000000006,1
 ,298,YBR199W,1,1,1,1.000000006,1
 ,299,YJR109C,1,1,1,1.000000006,1
 ,300,YCR048W,1,1,1,1.000000006,1
 ,301,YDL182W,1,1,1,1.000000006,1
 ,302,YER069W,0,0,0,0,0
 ,303,YJR148W,0,0,0,0,0
 ,304,YIL111W,1,1,1,1.000000008,1
 ,305,YOL097C,1,1.000000002,1,0.99999997,1
 ,306,YBR153W,0,0,0,0,0
 ,307,YLR354C,1,1,1,1.000000006,1
 ,308,YKR069W,1,1,1,1.000000004,1
 ,309,YJR158W,1,1,1,1.000000004,1
 ,310,YPR033C,1,1,1,1.000000004,1
 ,311,YMR085W,1,1,1,1.000000004,1
 ,312,YGL154C,0,0,0,0,0
 ,313,YPR062W,1,0.999999995,1,1.000000006,1
 ,314,YHR039C-A,1,1,1,1.000000006,1.000000008
 ,315,YNL202W,1,0.999999995,1,1.000000006,1
 ,316,YER023W,0,0,0,0,0
 ,317,YBR026C,1.000000001,1.000000007,0.999999999,1.000000006,1
 ,318,YCR034W,0,0,0,0,0
 ,319,YER060W,0.999999999,0.999999996,0.999999991,1.000000006,0.999999996
 ,320,YBR069C,1,1,1,1.000000001,1
 ,321,YGR177C,1,1,1,1.000000001,1
 ,322,YJR133W,1.000000002,1,1.000000003,1.000000006,1
 ,323,YBR176W,1,1.000000007,1,0.999999994,1
 ,324,YGL040C,1,1,1,1.000000006,1
 ,325,YLR133W,1.000000002,1,1.000000003,1.000000006,1
 ,326,YDL215C,1,1,1.000000003,1.000000006,1
 ,327,YML004C,1,1,1.000000003,1.000000025,1
 ,328,YPL057C,1,1,1.000000003,1.000000006,1
 ,329,YDR058C,1,1,1.000000003,1.000000006,1
 ,330,YDR315C,1.000000001,1,1.000000003,1.00000001,1
 ,331,YGR255C,1.000000001,1,1.000000003,1.00000001,1
 ,332,YBR161W,1,1,1,1.000000004,1
 ,333,YNL169C,0.999573137,0.999573138,0.999573137,0.99959655,0.999703578
 ,334,YCL069W,0.999999999,1.000000004,1.000000018,1.000000006,1
 ,335,YNL104C,1,0.999999999,1.000000001,1.000000006,1
 ,336,YML081C-A,0.822271217,0.822271223,0.822271217,0.401941743,0
 ,337,YDL045C,1,1,1,1.000000008,0.999999994
 ,338,YLR180W,1,1,1,1.000000004,1
 ,339,YOR245C,1,1,1,1.000000004,1
 ,340,YGR282C,1,1,1,1.000000012,1
 ,341,YDL198C,1,1,1,1.000000012,1
 ,342,YOR180C,1,1,1,1.000000012,1
 ,343,YNR043W,0,0,-5.89E-13,0,0
 ,344,YOR360C,1.000000004,0.999999999,1.000000001,1.000000006,1
 ,345,YOR335C,1,0.999999999,1.000000007,1.000000006,1
 ,346,UNKNOWN,1,1,1,1.000000006,1.000000001
 ,347,YGR204W,-4.44E-13,5.57E-08,4.04E-12,-4.43E-12,7.27E-06
 ,348,YJL005W,1,1.000000001,1,1.000000006,1
 ,349,YOL065C,1,1.000000002,1,1.000000006,1
 ,350,YPL028W,6.49E-09,0,0,0,0
 ,351,YFL001W,1,1,0.999999994,1.000000006,1
