 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,1,YAL012W,0.0,0.997527342233314,0.0,0.0
 ,2,YDR384C,0.9999999999784827,1.00000000002145,0.0,0.9999999995283954
 ,3,YHR163W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,4,YOR011W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,5,YDR050C,0.0,0.0,0.0,0.0
 ,6,YMR323W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,7,YLL062C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,8,YHR067W,0.9999999998468299,1.0000000000052582,0.0,0.0
 ,9,YBR213W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,10,YDR481C,0.0,0.9999999854251942,0.0,0.9999999883904422
 ,11,YER014W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,12,YMR205C,0.0,0.0,0.9999999999148599,0.9999999997716221
 ,13,YIL094C,0.0,0.0,0.0,0.0
 ,14,YCR005C,0.9999999999936743,1.0000000000364537,0.9999999999435989,0.0
 ,15,YPL040C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,16,YNL003C,0.0,1.0000000000198912,0.0,0.9999999985836062
 ,17,YDR503C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,18,YJL212C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,19,YPL244C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,20,YDL238C,0.9999999999101498,0.9999999998742425,0.999999999251546,0.999999997810207
 ,21,YJR153W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,22,YLR089C,0.0,1.0000000000262785,0.0,0.0
 ,23,YDR513W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,24,YEL058W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,25,YKL024C,0.0,0.0,0.0,0.0
 ,26,YLR395C,0.0,0.0,0.0,0.0
 ,27,YDR305C,1.0000000000105844,0.9999999999828677,0.0,0.0
 ,28,YLR348C,0.0,0.8640198538575541,0.0,0.0
 ,29,YBR121C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,30,YEL042W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,31,YLR382C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,32,YKL188C,0.9999999999934169,1.000000000005537,1.0000000000069398,0.0
 ,33,YFL045C,0.0,0.0,0.0,0.0
 ,34,YMR015C,0.9999999996611362,1.000000000007858,0.9999999999659017,0.9999999963747482
 ,35,YBL033C,0.0,0.0,0.0,0.0
 ,36,Q0085,0.5063001639586204,0.5173656970178316,0.0,0.0
 ,37,YBR117C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,38,YIL124W,1.0000000000097224,0.9999999997981742,1.0000000000856442,0.0
 ,39,Q0080,0.5063001639586204,0.5173656970178316,0.0,0.0
 ,40,YGR194C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,41,YMR009W,0.9999999997283957,1.0000000000122642,0.0,0.9999999999720056
 ,42,YPL274W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,43,YAR073W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,44,YJL219W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,45,YEL051W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,46,YDR046C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,47,YKL203C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,48,YOR202W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,49,YGL245W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,50,YER081W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,51,YJL070C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,52,YNL241C,0.9999999999909688,0.9999999999985197,0.9999999997951683,0.9999999999681215
 ,53,YER070W,0.9999682855785719,0.0,0.0,0.0
 ,54,YPL262W,0.0,0.0,0.0,0.0
 ,55,YPL036W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,56,YKL029C,0.0,0.9999999999588511,0.9999999997390006,0.0
 ,57,YHR025W,0.0,0.0,0.0,0.0
 ,58,YHL036W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,59,YML056C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,60,YML059C,0.9999999999970509,0.9999999999649132,1.0000000000463127,0.9999999975128614
 ,61,YIL074C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,62,YKL104C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,63,YCL040W,0.0,0.9999999999697601,0.9999999999526112,1.0000000000348153
 ,64,YLR447C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,65,YOL058W,0.0,0.0,0.0,0.0
 ,66,YAR035W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,67,YCR012W,0.0,0.0,0.0,0.0
 ,68,YOL156W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,69,Q0275,0.0,0.0,0.0,0.0
 ,70,YPR074C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,71,YPR128C,0.999999999809882,0.0,0.9999999998978761,0.0
 ,72,YGR244C,0.0,0.0,0.0,0.0
 ,73,YDR354W,0.0,0.0,0.0,0.0
 ,74,YJR049C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,75,YGR020C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,76,YGR121C,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,77,YHR042W,0.0,0.0,0.0,0.0
 ,78,YMR289W,0.0,1.0000000000047107,0.999999999755882,0.0
 ,79,YPR002W,1.0000000000002445,0.999999999860208,0.0,0.0
 ,80,YDR242W,0.9999999999361868,0.0,0.0,0.9999999999904897
 ,81,YCR083W,1.0000000000176044,0.0,0.9999999998701057,0.0
 ,82,YKR067W,0.9999999999361868,0.0,0.0,0.9999999999904897
