No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
385,YML123C,1.0, ,1.0,1.0,1.0, ,,,,,
386,YPL189W,1.0, ,1.0,1.0,1.0, ,,,,,
387,YHR190W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
388,YHL011C,1.0, ,1.0,1.0,1.0, ,,,,,
389,YMR313C,1.0, ,1.0,1.0,1.0, ,,,,,
390,YGR143W,1.0, ,1.0,1.0,1.0, ,,,,,
391,YHR007C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
392,YBR205W,1.0, ,1.0,1.0,1.0, ,,,,,
393,YOR163W,1.0, ,1.0,1.0,1.0, ,,,,,
394,YOR321W,1.0, ,1.0,1.0,1.0, ,,,,,
395,YBR003W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
396,YDL085W,1.0, ,1.0,1.0,1.0, ,,,,,
397,YBR183W,1.0, ,1.0,1.0,1.0, ,,,,,
398,YGL256W,1.0, ,1.0,1.0,1.0, ,,,,,
399,YGR260W,1.0, ,1.0,1.0,1.0, ,,,,,
400,YER099C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
401,YBL013W,1.0, ,1.0,1.0,1.0, ,,,,,
402,YJR048W,1.0, ,1.0,1.0,1.0, ,,,,,
403,YNL256W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
404,YLR174W,0.0, ,-0.0,0.0,0.0, ,,,,,
405,YLL028W,1.0, ,1.0,1.0,1.0, ,,,,,
406,YHR001W-A,1.0, ,1.0,0.0,0.0, ,,,,,
407,YMR207C,1.0, ,1.0,1.0,1.0, ,,,,,
408,YGR286C,1.0, ,1.0,1.0,1.0, ,,,,,
409,YCR037C,1.0, ,1.0,1.0,1.0, ,,,,,
410,YIR031C,1.0, ,1.0,1.0,1.0, ,,,,,
411,YHR174W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
412,YLR359W,-0.0, ,-0.0,0.0,0.0, ,-,-,-,-,-
413,YJR143C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
414,YMR217W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
415,YFR025C,1.0, ,1.0,1.0,1.0, ,,,,,
416,YBR039W,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
417,YER024W,1.0, ,1.0,1.0,1.0, ,,,,,
418,YKL004W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
419,YOR136W,1.0, ,1.0,1.0,1.0, ,,,,,
420,YNL142W,1.0, ,1.0,1.0,1.0, ,,,,,
421,YPL234C,1.0, ,1.0,1.0,1.0, ,,,,,
422,YOR209C,1.0, ,1.0,1.0,1.0, ,,,,,
423,YGL026C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
424,YHR094C,1.0, ,1.0,1.0,1.0, ,,,,,
425,Q0045,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
426,YGR138C,1.0, ,1.0,1.0,1.0, ,,,,,
427,YLR258W,1.0, ,1.0,1.0,1.0, ,,,,,
428,YGL125W,1.0, ,1.0,1.0,1.0, ,,,,,
429,YNL101W,1.0, ,1.0,1.0,1.0, ,,,,,
430,YBR127C,1.0, ,1.0,1.0,1.0, ,,,,, 
431,YLR164W,1.0, ,1.0,1.0,1.0, ,,,,,
432,YMR189W,1.0, ,1.0,1.0,1.0, ,,,,,
433,YJL137C,1.0, ,1.0,1.0,1.0, ,,,,,
434,YGL009C,1.0, ,1.0,1.0,1.0, ,,,,,
435,YLR028C,1.0, ,1.0,1.0,1.0, ,,,,,
436,YLR285W,1.0, ,1.0,1.0,1.0, ,,,,,
437,YDR497C,1.0, ,1.0,1.0,1.0, ,,,,,
438,YBR115C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
439,YKL055C,1.0, ,1.0,1.0,1.0, ,,,,,
440,YGR192C,1.0, ,1.0,1.0,1.0, ,,,,,
441,YFL053W,1.0, ,1.0,1.0,1.0, ,,,,,
442,YDR368W,1.0, ,1.0,1.0,1.0, ,,,,,
443,YBL045C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
444,YGR043C,1.0, ,1.0,1.0,1.0, ,,,,,
445,YPR184W,1.0, ,1.0,1.0,1.0, ,,,,,
446,YAR071W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
447,YLR060W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
448,YOR184W,1.0, ,1.0,1.0,1.0, ,m,m,0,0,
449,YJL167W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
450,Q0130,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
451,YBR149W,1.0, ,1.0,1.0,1.0, ,,,,,
452,YKL211C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
453,YPR047W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
454,YOR241W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
455,YLR158C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
456,YDR044W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
457,YLR056W,1.0, ,1.0,1.0,1.0, ,,,,,
458,YKR080W,1.0, ,1.0,1.0,1.0, ,,,,,
459,YKL181W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
460,YIL094C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
461,YHR037W,1.0, ,1.0,1.0,1.0, ,,,,,
462,YIR037W,1.0, ,1.0,1.0,1.0, ,,,,,
463,YCR010C,1.0, ,1.0,1.0,1.0, ,,,,,
464,YPR035W,-0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
465,YGL012W,0.0, ,0.0,0.0,0.0, ,,,0,0,0
466,YJL101C,1.0, ,1.0,1.0,1.0, ,,,,,
467,YLR432W,1.0, ,1.0,1.0,1.0, ,,,,,
468,YMR220W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
469,YDR353W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
470,YIR027C,1.0, ,1.0,1.0,1.0, ,,,,,
471,YDL080C,1.0, ,1.0,1.0,1.0, ,,,,,
472,YOR273C,1.0, ,1.0,1.0,1.0, ,,,,,
473,YJR073C,0.0, ,0.0,0.0,0.0, ,,,,,
474,YNR057C,1.0, ,1.0,1.0,1.0, ,,,,,
475,YGL067W,1.0, ,1.0,1.0,1.0, ,,,,,
476,YDR074W,0.0, ,0.0,0.0,0.0, ,,,,,
477,YGL077C,1.0, ,1.0,1.0,1.0, ,,,,,
478,YOR332W,1.0, ,1.0,1.0,1.0, ,,,,,
479,YBL099W,1.0, ,1.0,0.0,0.0, ,,,0,0,0
480,YGR208W,1.0, ,1.0,1.0,1.0, ,,,,,0
481,Q0250,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
482,YDR536W,1.0, ,1.0,1.0,1.0, ,,,,,
483,YCR075C,1.0, ,1.0,1.0,1.0, ,,,,,
484,YNL316C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
485,YFR055W,1.0, ,1.0,1.0,1.0, ,,,,,
486,YLR081W,1.0, ,1.0,1.0,1.0, ,,,,,
487,YIL164C,1.0, ,1.0,1.0,1.0, ,,,,,
488,YMR267W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
489,YIL116W,1.0, ,1.0,1.0,1.0, ,,,,,
490,YLR109W,1.0, ,1.0,1.0,1.0, ,,,,,
491,YOR190W,1.0, ,1.0,1.0,1.0, ,,,,,
492,YKR009C,1.0, ,1.0,1.0,1.0, ,,,,,
493,YGR094W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
494,YDR402C,1.0, ,1.0,1.0,1.0, ,,,,,
495,YDR178W,1.0, ,1.0,1.0,1.0, ,,,,,
496,YJR103W,1.0, ,1.0,1.0,1.0, ,,,,,
497,YBR265W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
498,YER043C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
499,YDR232W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
500,YGR124W,1.0, ,1.0,1.0,1.0, ,,,,,
501,YJR158W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
502,YMR307W,1.0, ,1.0,1.0,1.0, ,,,,,
503,YGR264C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
504,YOR222W,1.0, ,1.0,1.0,1.0, ,,,,,
505,YHR137W,1.0, ,1.0,1.0,1.0, ,,,,,
506,YOR348C,1.0, ,1.0,1.0,1.0, ,,,,,
507,YGL248W,1.0, ,1.0,1.0,1.0, ,,,,,
508,YLR134W,1.0, ,1.0,1.0,1.0, ,,,,,
509,YGL055W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
510,YGR096W,1.0, ,1.0,1.0,1.0, ,,,,,
511,YJR025C,1.0, ,1.0,1.0,1.0, ,,,,,
512,YBR092C,1.0, ,1.0,1.0,1.0, ,,,,,
513,YOR393W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
514,YKL035W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
515,YBR068C,1.0, ,1.0,1.0,1.0, ,,,,,
516,YDR111C,1.0, ,1.0,1.0,1.0, ,,,,,
517,YOL061W,1.0, ,1.0,1.0,1.0, ,,,,,
518,YLR195C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
519,YMR250W,1.0, ,1.0,1.0,1.0, ,,,,,
520,YDR483W,1.0, ,1.0,1.0,1.0, ,,,,,
521,YFL030W,1.0, ,1.0,1.0,1.0, ,,,,,
522,YGR254W,1.0, ,1.0,1.0,1.0, ,,,,,
523,YER061C,1.0, ,1.0,1.0,1.0, ,,,, ,
524,YNL111C,1.0, ,1.0,1.0,1.0, ,,,,,
525,YBR020W,1.0, ,0.0,1.0,1.0, ,,,0,,
526,YLR231C,1.0, ,1.0,1.0,1.0, ,,,,,
527,YKL184W,1.0, ,1.0,1.0,1.0, ,,,,,
528,YNL129W,1.0, ,1.0,1.0,1.0, ,,,,,
529,YJR139C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
530,YKL016C,1.0, ,1.0,0.0,0.0, ,,,0, ,0
531,YPL111W,1.0, ,1.0,1.0,1.0, ,,,,,
532,YER183C,1.0, ,1.0,1.0,1.0, ,,,,,
533,YLR160C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
534,YKL174C,1.0, ,1.0,1.0,1.0, ,,,,,
535,YDL066W,1.0, ,1.0,1.0,1.0, ,,,,,
536,YOR130C,0.0, ,0.0,0.0,0.0, ,, ,0,0, 
537,YKR093W,1.0, ,1.0,1.0,1.0, ,,,,,
538,YMR319C,1.0, ,1.0,1.0,1.0, ,,,,,
539,YOL066C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
540,YBR085W,1.0, ,1.0,1.0,1.0, ,,,,,
541,YBR184W,1.0, ,1.0,1.0,1.0, ,,,,,
542,YKL026C,1.0, ,1.0,1.0,1.0, ,,,,,
543,YKL212W,1.0, ,1.0,1.0,1.0, ,,,,,
544,YNR050C,0.0, ,0.0,0.0,0.0, ,0,0,0,,0
545,YJR078W,1.0, ,1.0,1.0,1.0, ,,,,,
546,YPL188W,1.0, ,1.0,1.0,1.0, ,,,,,
547,YGR180C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
548,YNL073W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
549,YOR374W,1.0, ,1.0,1.0,1.0, ,,,,,
550,YFR047C,1.0, ,1.0,1.0,1.0, ,,,,,
551,YBR132C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
552,YML110C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
553,YOL011W,1.0, ,1.0,1.0,1.0, ,,,,,
554,YLR372W,1.0, ,1.0,1.0,1.0, ,,,,,
555,YPL276W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
556,YAR075W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
557,YOR171C,1.0, ,1.0,1.0,1.0, ,,,,,
558,YBR248C,1.0, ,1.0,1.0,1.0, ,,,,,
559,YHL016C,1.0, ,1.0,1.0,1.0, ,,,,,
560,YLR201C,1.0, ,1.0,1.0,1.0, ,,,,,
561,YFL017C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
562,YDL168W,1.0, ,1.0,1.0,1.0, ,,,,,
563,YIL134W,1.0, ,1.0,1.0,1.0, ,,,,,
564,YDR236C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
565,YKL106W,1.0, ,1.0,1.0,1.0, ,,,,,
566,YLR307W,1.0, ,1.0,1.0,1.0, ,,,,,
567,YOL143C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
568,YGL063W,1.0, ,1.0,1.0,1.0, ,,,,,
569,YHR072W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
570,YGL148W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
571,YNL192W,1.0, ,1.0,1.0,1.0, ,,,,,
572,YCL035C,1.0, ,1.0,1.0,1.0, ,,,,,
573,YKR053C,1.0, ,1.0,1.0,1.0, ,,,,,
574,YLR420W,1.0, ,1.0,1.0,1.0, ,,,,,
575,YOL056W,1.0, ,1.0,1.0,1.0, ,,,,,
576,YHR144C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
577,YDR208W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
578,YJR077C,1.0, ,1.0,1.0,1.0, ,,,,, 
579,YGR088W,1.0, ,1.0,1.0,1.0, ,,,,,
580,YMR083W,1.0, ,1.0,1.0,1.0, ,,,,,
581,YFR015C,1.0, ,1.0,1.0,1.0, ,,,,,
582,YOR176W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
583,YOR109W,1.0, ,1.0,1.0,1.0, ,,,,,
584,YOL049W,1.0, ,1.0,1.0,1.0, ,,,,,
585,YDR158W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
586,YBR180W,1.0, ,1.0,1.0,1.0, ,,,,,
587,YNL247W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
588,YDL141W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
589,YHR128W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
590,YOL126C,1.0, ,1.0,1.0,1.0, ,,,,,0
591,YCR073W-A,1.0, ,1.0,1.0,1.0, ,,,,,
592,YMR120C,1.0, ,1.0,1.0,1.0, ,,,,,
593,YDR256C,1.0, ,1.0,1.0,1.0, ,,,,,
594,YOR143C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
595,YDL052C,1.0, ,1.0,1.0,1.0, ,,,,,
596,YER005W,1.0, ,1.0,1.0,1.0, ,,,,,
597,YIL009W,1.0, ,1.0,1.0,1.0, ,,,,,
598,YIL168W,1.0, ,1.0,1.0,1.0, ,,,,,
599,YML075C,1.0, ,1.0,1.0,1.0, ,,,,,
600,YCR024C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
601,YEL071W,1.0, ,1.0,1.0,1.0, ,,,,,
602,YDR050C,0.0, ,0.0,0.0,0.0, ,,,,,
603,YBR213W,1.0, ,1.0,1.0,1.0, ,,,,,
604,YLR355C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
605,YCR032W,1.0, ,1.0,1.0,1.0, ,,,,,
606,YPR081C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
607,YMR118C,1.0, ,1.0,1.0,1.0, ,,,,,
608,YIL043C,1.0, ,1.0,1.0,1.0, ,,,,,
609,YPL134C,1.0, ,1.0,1.0,1.0, ,,,,,
610,YOL096C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
611,YDR284C,1.0, ,1.0,1.0,1.0, ,,,,,
612,YPL252C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
613,YLR151C,1.0, ,1.0,1.0,1.0, ,,,,,
614,YPR121W,1.0, ,1.0,1.0,1.0, ,,,,,
615,YBR218C,1.0, ,1.0,1.0,1.0, ,,,,,
616,YKR058W,1.0, ,1.0,1.0,1.0, ,0,0,0,0,0
617,YML120C,1.0, ,1.0,1.0,1.0, ,,,,,
618,YHR106W,1.0, ,1.0,1.0,1.0, ,,,,,
619,YLR172C,1.0, ,1.0,1.0,1.0, ,,,,,
620,YKL132C,1.0, ,1.0,1.0,1.0, ,,,,,
621,YIL125W,1.0, ,1.0,1.0,1.0, ,,,,0,0
622,YHR208W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
623,YAL062W,1.0, ,1.0,1.0,1.0, ,,,,,
624,YMR008C,1.0, ,1.0,1.0,1.0, ,,,,,
625,YBL015W,1.0, ,1.0,1.0,1.0, ,,,,,
626,YEL027W,1.0, ,1.0,1.0,1.0, ,,,,,0
627,YDL171C,1.0, ,1.0,1.0,1.0, ,,,,,
628,YBR296C,1.0, ,1.0,1.0,1.0, ,,,,,
629,YBL076C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
630,YPR191W,1.0, ,1.0,0.0,0.0, ,,,,,0
631,YLR017W,1.0, ,1.0,1.0,1.0, ,,,,,
632,YJR010W,1.0, ,1.0,1.0,1.0, ,,,,,
633,YBR041W,1.0, ,1.0,1.0,1.0, ,,,,,
634,YNR033W,1.0, ,1.0,1.0,1.0, ,,,,,
635,YFL018C,1.0, ,1.0,1.0,1.0, ,,,,m,
636,YGR193C,1.0, ,1.0,1.0,1.0, ,,,,,
637,YOR168W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
638,YJR051W,1.0, ,1.0,1.0,1.0, ,,,,,
639,YPL273W,1.0, ,1.0,1.0,1.0, ,,,,,
640,YDR261C,1.0, ,1.0,1.0,1.0, ,,,,,
641,YKL218C,1.0, ,1.0,1.0,1.0, ,,,,,
642,YNL009W,1.0, ,1.0,1.0,1.0, ,,,,,
643,YER170W,1.0, ,1.0,1.0,1.0, ,,,,,
644,YEL011W,1.0, ,1.0,1.0,1.0, ,,,,,
645,YML035C,1.0, ,1.0,1.0,1.0, ,,,,,
646,YDR453C,1.0, ,1.0,1.0,1.0, ,,,,,
647,YDR037W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
648,YER178W,1.0, ,1.0,1.0,1.0, ,,,,,
649,YGR170W,1.0, ,1.0,1.0,1.0, ,,,,,
650,YDL247W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
651,YJR019C,1.0, ,1.0,1.0,1.0, ,,,,,
652,YDR047W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
653,YDR321W,1.0, ,1.0,1.0,1.0, ,,,,,
654,YNR001C,1.0, ,1.0,1.0,1.0, ,,,,,
655,YNL071W,1.0, ,1.0,1.0,1.0, ,,,,,
656,YMR088C,1.0, ,1.0,1.0,1.0, ,,,,,
657,YDR147W,1.0, ,1.0,1.0,1.0, ,,,,,
658,YDL093W,1.0, ,1.0,1.0,1.0, ,,,,,
659,YLR295C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
660,YDR530C,1.0, ,1.0,1.0,1.0, ,,,,,
661,YPL078C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
662,YKL148C,1.0, ,1.0,1.0,1.0, ,,,,,0
663,YKL192C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
664,YCR053W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,
665,YER086W,1.0, ,1.0,1.0,1.0, ,0,0,0,0,0
666,YGL001C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
667,YBR291C,1.0, ,1.0,1.0,1.0, ,,,,,
668,YJR160C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
669,YER087W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
670,YAR015W,-0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
671,YPR156C,1.0, ,1.0,1.0,1.0, ,,,,,
672,YJL060W,1.0, ,1.0,1.0,1.0, ,,,,,
673,YOR100C,1.0, ,1.0,1.0,1.0, ,,,,,
674,YDL205C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
675,YKR097W,1.0, ,1.0,1.0,0.0, ,,,,,0
676,YPL172C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
677,YHR019C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
678,YNL037C,1.0, ,1.0,1.0,1.0, ,,,,,
679,YPR140W,1.0, ,1.0,1.0,1.0, ,,,,,
680,YDL131W,1.0, ,1.0,1.0,1.0, ,,,,,
681,YMR054W,1.0, ,1.0,1.0,1.0, ,,,,,
682,YIL107C,1.0, ,1.0,1.0,1.0, ,,,,,
683,YER053C,1.0, ,1.0,1.0,1.0, ,,,,,
684,YOR126C,1.0, ,1.0,1.0,1.0, ,,,,,
685,YKR066C,1.0, ,1.0,1.0,1.0, ,,,,,
686,YIR034C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
687,YGR248W,1.0, ,1.0,1.0,1.0, ,,,,,
688,YCL050C,1.0, ,1.0,1.0,1.0, ,,,,,
689,YLR303W,1.0, ,1.0,1.0,1.0, ,,,,,
690,YML070W,1.0, ,1.0,1.0,1.0, ,,,,,
691,YGR087C,1.0, ,1.0,1.0,1.0, ,,,,,
692,YGL008C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
693,YJL026W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
694,YOL103W,1.0, ,1.0,1.0,1.0, ,,,,,
695,YCL025C,1.0, ,1.0,1.0,1.0, ,,,,,
696,YNR034W,1.0, ,1.0,1.0,1.0, ,,,,,
697,YMR108W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
698,YDR272W,1.0, ,1.0,1.0,1.0, ,,,,,
699,YGR289C,1.0, ,1.0,1.0,1.0, ,,,,,
700,YGR157W,0.0, ,0.0,0.0,0.0, ,,,,,
701,YNL318C,1.0, ,1.0,1.0,1.0, ,,,,,
702,YBR196C,1.0, ,0.0,0.0,0.0, ,-,-,-,-,-
703,YDR297W,1.0, ,1.0,1.0,1.0, ,,,,,
704,YGR147C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
705,YOL033W,1.0, ,1.0,1.0,1.0, ,,,,,
706,YMR261C,1.0, ,1.0,1.0,1.0, ,,,,,
707,YBR018C,1.0, ,0.0,1.0,1.0, ,,,0,,
708,YLR142W,1.0, ,1.0,1.0,1.0, ,,,,,
709,YBR006W,1.0, ,1.0,1.0,1.0, ,,,,,
710,YLR038C,1.0, ,1.0,0.0,0.0, ,,,,,
711,YDL040C,1.0, ,1.0,1.0,1.0, ,,,,,
712,YDL015C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
713,YHR068W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
714,YCR036W,1.0, ,1.0,1.0,1.0, ,,,,,
715,YGR287C,1.0, ,1.0,1.0,1.0, ,,,,,
716,YER015W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
717,YBR166C,1.0, ,1.0,1.0,1.0, ,,,,,
718,YMR170C,1.0, ,1.0,1.0,1.0, ,,,,,
719,YIL155C,1.0, ,1.0,1.0,1.0, ,,,,,
720,YGR171C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
721,YJR121W,1.0, ,1.0,0.0,0.0, ,,,,,
722,YDR035W,1.0, ,1.0,1.0,1.0, ,,,,,
723,YGR055W,1.0, ,1.0,1.0,1.0, ,,,,,
724,YDR502C,1.0, ,1.0,1.0,1.0, ,,,,,
725,YGR065C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
726,YER062C,1.0, ,1.0,1.0,1.0, ,,,,,
727,YGR247W,1.0, ,1.0,1.0,1.0, ,,,,,
728,YDR098C,1.0, ,1.0,1.0,1.0, ,,,,,
729,YLR245C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
730,YHR092C,1.0, ,1.0,1.0,1.0, ,,,,,
731,YNR016C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
732,YPR026W,1.0, ,1.0,1.0,1.0, ,,,,,
733,YLR070C,1.0, ,1.0,1.0,1.0, ,,,,,
734,YIL078W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
735,YBR023C,1.0, ,1.0,1.0,1.0, ,,,,,
736,YNL052W,1.0, ,1.0,1.0,1.0, ,,,,, 
737,YGL184C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
738,YNR008W,1.0, ,1.0,1.0,1.0, ,,,,,
739,YBR249C,1.0, ,1.0,1.0,1.0, ,,,,,
740,YLR155C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
741,YEL069C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
742,YDR341C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
743,YGR012W,1.0, ,1.0,1.0,1.0, ,,,,,
744,YBR084W,1.0, ,1.0,1.0,1.0, ,,,,,
745,YDR127W,-0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
746,YGR202C,1.0, ,1.0,1.0,1.0, ,,,,,
747,YEL063C,1.0, ,1.0,1.0,1.0, ,,,,,
748,YKL120W,1.0, ,1.0,1.0,1.0, ,,,,,
749,YJR057W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
750,YDR508C,1.0, ,1.0,1.0,1.0, ,,,,,
751,YKL127W,1.0, ,1.0,1.0,1.0, ,,,,,
752,YPR001W,1.0, ,1.0,1.0,1.0, ,,,,,
753,YMR011W,1.0, ,1.0,1.0,1.0, ,,,,,
754,YEL024W,1.0, ,1.0,0.0,0.0, ,,,0,0,0
755,YJL126W,1.0, ,1.0,1.0,1.0, ,,,,,
756,YKL067W,0.0, ,0.0,0.0,0.0, ,,,,,
757,YBL042C,1.0, ,1.0,1.0,1.0, ,,,,,
758,YIL099W,1.0, ,1.0,1.0,1.0, ,,,,,
759,YJR009C,1.0, ,1.0,1.0,1.0, ,,,,,
760,YPR145W,1.0, ,1.0,1.0,1.0, ,,,,,
761,YDR023W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
762,YOR375C,1.0, ,1.0,1.0,1.0, ,,,,,
763,YOL055C,1.0, ,1.0,1.0,1.0, ,,,,,
764,YLR092W,1.0, ,1.0,1.0,1.0, ,,,,,
765,YML056C,1.0, ,1.0,1.0,1.0, ,,,,,
766,YDR072C,1.0, ,1.0,1.0,1.0, ,,,,,
767,YDR298C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
768,YIL020C,1.0, ,1.0,1.0,1.0, ,,,,,
769,YBR208C,1.0, ,1.0,1.0,1.0, ,,,,,
770,YOL059W,1.0, ,1.0,1.0,1.0, ,,,,,
771,YOR099W,1.0, ,1.0,1.0,1.0, ,,,,,
772,YML100W,1.0, ,1.0,1.0,1.0, ,,,,,
773,YBL068W,1.0, ,1.0,1.0,1.0, ,,,,,
774,YKL150W,1.0, ,1.0,1.0,1.0, ,,,,,
775,YHR026W,1.0, ,1.0,1.0,1.0, ,,,,,
776,YPL160W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
777,YHR043C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
778,YOR128C,0.0, ,-0.0,-0.0,0.0, ,0,0,0,0,0
779,YJL052W,1.0, ,1.0,1.0,1.0, ,,,,,
780,YJL198W,1.0, ,1.0,1.0,1.0, ,,,,,
781,YGR209C,1.0, ,1.0,1.0,1.0, ,,,,,
782,YPR192W,1.0, ,1.0,1.0,1.0, ,,,,,
783,YPR113W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
784,YML096W,1.0, ,1.0,1.0,1.0, ,,,,,
785,YPR138C,1.0, ,1.0,1.0,1.0, ,,,,,
786,YOR323C,1.0, ,1.0,1.0,1.0, ,,,,,
787,YLL041C,1.0, ,1.0,1.0,0.0, ,,,,,
788,YML106W,1.0, ,1.0,1.0,1.0, ,,,,,
