 ,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,102,YOR120W,1.0,1.0,1.0,1.0,1.0
 ,103,YBR263W,1.0,1.0,1.0,1.0,1.0
 ,104,YBR035C,1.0,1.0,1.0,1.0,1.0
 ,105,YOL086C,1.0,1.0,1.0,1.0,1.0
 ,106,YMR113W,1.0,1.0,1.0,1.0,1.0
 ,107,YLR300W,1.0,1.0,1.0,1.0,1.0
 ,108,YMR084W,1.0,1.0,1.0,1.0,1.0
 ,109,YDR019C,1.0,1.0,1.0,1.0,1.0
 ,110,YGR010W,1.0,1.0,1.0,1.0,1.0
 ,111,YBR019C,1.0,1.0,0.0,1.0,1.0
 ,112,YER119C,1.0,1.0,1.0,1.0,1.0
 ,113,YDR380W,1.0,1.0,1.0,1.0,1.0
 ,114,YGR191W,1.0,1.0,1.0,1.0,1.0
 ,115,YAL060W,1.0,1.0,1.0,1.0,1.0
 ,116,YMR006C,1.0,1.0,1.0,1.0,1.0
 ,117,YJR130C,1.0,1.0,1.0,1.0,1.0
 ,118,YOR388C,1.0,1.0,1.0,1.0,1.0
 ,119,YHR063C,1.0,1.0,1.0,1.0,1.0
 ,120,YIL172C,1.0,1.0,1.0,1.0,1.0
 ,121,YLR011W,1.0,1.0,1.0,1.0,1.0
 ,122,YJL134W,1.0,1.0,1.0,1.0,1.0
 ,123,YKL146W,1.0,1.0,1.0,1.0,1.0
 ,124,YBL068W,1.0,1.0,1.0,1.0,1.0
 ,125,YPR183W,0.0,0.0,0.0,0.0,0.0
 ,126,YHR104W,1.0,1.0,1.0,1.0,1.0
 ,127,YDL004W,1.0,1.0,1.0,0.0,0.0
 ,128,YEL017C-A,1.0,1.0,1.0,1.0,1.0
 ,129,YJL166W,1.0,1.0,1.0,0.0,0.0
 ,130,YJL200C,1.0,1.0,1.0,1.0,1.0
 ,131,YKL080W,1.0,1.0,1.0,1.0,1.0
 ,132,YDR403W,1.0,1.0,1.0,1.0,1.0
 ,133,YGR096W,1.0,1.0,1.0,1.0,1.0
 ,134,YPL059W,1.0,1.0,1.0,1.0,1.0
 ,135,YLR377C,1.0,1.0,1.0,0.0,0.0
 ,136,YGL205W,1.0,1.0,1.0,1.0,1.0
 ,137,YIL125W,1.0,1.0,1.0,1.0,1.0
 ,138,YDL210W,0.0,1.0,1.0,1.0,1.0
 ,139,YDR376W,1.0,1.0,1.0,1.0,1.0
 ,140,YKR058W,1.0,1.0,1.0,1.0,1.0
 ,141,YKL194C,1.0,1.0,1.0,1.0,1.0
 ,142,YHR208W,1.0,1.0,1.0,1.0,1.0
 ,143,YNR013C,1.0,1.0,1.0,1.0,1.0
 ,144,YPL148C,1.0,1.0,1.0,1.0,1.0
 ,145,YPL271W,1.0,1.0,1.0,0.0,0.0
 ,146,YLL061W,1.0,1.0,1.0,1.0,1.0
 ,147,YAL062W,1.0,1.0,1.0,1.0,1.0
 ,148,YLR237W,1.0,1.0,1.0,1.0,1.0
 ,149,YDR531W,1.0,1.0,1.0,1.0,1.0
 ,150,YIL013C,1.0,1.0,1.0,1.0,1.0
 ,151,YFL055W,1.0,1.0,1.0,1.0,1.0
 ,152,YOL136C,1.0,1.0,1.0,1.0,1.0
 ,153,YOR221C,1.0,1.0,1.0,1.0,1.0
 ,154,YOR071C,1.0,1.0,1.0,1.0,1.0
 ,155,YPL214C,1.0,1.0,1.0,1.0,1.0
 ,156,YBR293W,1.0,1.0,1.0,1.0,1.0
 ,157,YGL084C,1.0,1.0,1.0,1.0,1.0
 ,158,YPL092W,1.0,1.0,1.0,1.0,1.0
 ,159,YGR019W,1.0,1.0,1.0,1.0,1.0
 ,160,YGL191W,1.0,1.0,1.0,0.0,0.0
 ,161,YOL064C,1.0,1.0,1.0,1.0,1.0
 ,162,YDL142C,1.0,1.0,1.0,1.0,1.0
 ,163,YMR056C,1.0,1.0,1.0,1.0,1.0
 ,164,YJR001W,1.0,1.0,1.0,1.0,1.0
 ,165,YHR123W,1.0,1.0,1.0,1.0,1.0
 ,166,YDL174C,1.0,1.0,1.0,1.0,1.0
 ,167,YER091C,1.0,1.0,1.0,1.0,1.0
 ,168,YGR256W,1.0,1.0,1.0,1.0,1.0
 ,169,YLR209C,1.0,1.0,1.0,1.0,1.0
 ,170,YDL103C,1.0,1.0,1.0,1.0,1.0
 ,171,YOR128C,0.0,-0.0,0.0,0.0,-0.0
 ,172,YDL171C,1.0,1.0,1.0,1.0,1.0
 ,173,YML082W,1.0,1.0,1.0,1.0,1.0
 ,174,YBR021W,0.0,0.0,0.0,0.0,0.0
 ,175,YLL057C,1.0,1.0,1.0,1.0,1.0
 ,176,YEL039C,1.0,1.0,1.0,1.0,1.0
 ,177,YPL061W,1.0,1.0,1.0,1.0,1.0
 ,178,YBR296C,1.0,1.0,1.0,1.0,1.0
 ,179,YLR308W,1.0,1.0,1.0,1.0,1.0
 ,180,YDR454C,0.0,0.0,0.0,0.0,0.0
 ,181,YNL277W,1.0,1.0,1.0,1.0,1.0
 ,182,YER055C,1.0,1.0,1.0,1.0,1.0
 ,183,YHR011W,1.0,1.0,1.0,1.0,1.0
 ,184,YLL012W,1.0,1.0,1.0,1.0,1.0
 ,185,YLR438W,1.0,1.0,1.0,1.0,1.0
 ,186,YJL052W,1.0,1.0,1.0,1.0,1.0
 ,187,YJL088W,0.0,0.0,0.0,0.0,0.0
 ,188,YDR226W,0.0,0.0,0.0,0.0,0.0
 ,189,YJR105W,1.0,1.0,1.0,1.0,1.0
 ,190,YGL186C,1.0,1.0,1.0,1.0,1.0
 ,191,YMR062C,0.0,0.0,0.0,0.0,0.0
 ,192,YDR234W,0.0,0.0,0.0,0.0,0.0
 ,193,YGR209C,1.0,1.0,1.0,1.0,1.0
 ,194,YLR305C,1.0,1.0,1.0,1.0,1.0
 ,195,YOL140W,0.0,0.0,0.0,0.0,0.0
 ,196,YIR029W,1.0,1.0,1.0,1.0,1.0
 ,197,YGR155W,0.0,0.0,0.0,0.0,0.0
 ,198,YBR036C,1.0,1.0,1.0,1.0,1.0
 ,199,YMR300C,-0.0,-0.0,0.0,0.0,0.0
 ,200,YGR032W,1.0,1.0,1.0,1.0,1.0
 ,201,YGR267C,0.0,0.0,0.0,0.0,0.0
 ,202,YGR125W,1.0,1.0,1.0,1.0,1.0
 ,203,YNL292W,1.0,1.0,1.0,1.0,1.0
 ,204,YLR342W,1.0,1.0,1.0,1.0,1.0
 ,205,YPR006C,1.0,1.0,1.0,1.0,1.0
 ,206,YCR028C,1.0,1.0,1.0,1.0,1.0
 ,207,YJL153C,0.0,0.0,0.0,0.0,0.0
 ,208,YML054C,1.0,1.0,1.0,1.0,1.0
 ,209,YAL023C,1.0,1.0,1.0,1.0,1.0
 ,210,YDL181W,1.0,1.0,1.0,0.0,0.0
 ,211,YHR074W,1.0,1.0,1.0,1.0,1.0
 ,212,YFR030W,1.0,1.0,1.0,1.0,1.0
 ,213,YBR256C,0.0,0.0,0.0,0.0,0.0
 ,214,YPR113W,0.0,0.0,0.0,0.0,0.0
 ,215,YOR236W,0.0,0.0,0.0,-0.0,0.0
 ,216,YBR038W,1.0,1.0,1.0,1.0,1.0
 ,217,YBR244W,1.0,1.0,1.0,1.0,1.0
 ,218,YPL053C,1.0,1.0,1.0,1.0,1.0
 ,219,YMR246W,1.0,1.0,1.0,1.0,1.0
 ,220,YPR020W,1.0,1.0,1.0,1.0,1.0
 ,221,YKL085W,1.0,1.0,1.0,1.0,1.0
 ,222,YLR027C,1.0,1.0,1.0,1.0,1.0
 ,223,YBR284W,1.0,1.0,1.0,1.0,1.0
 ,224,YEL047C,1.0,1.0,1.0,1.0,1.0
 ,225,YLR351C,1.0,1.0,1.0,1.0,1.0
 ,226,YBL064C,1.0,1.0,1.0,1.0,1.0
 ,227,YPR036W,1.0,1.0,1.0,1.0,1.0
 ,228,YNL130C,1.0,1.0,1.0,1.0,1.0
 ,229,YHR018C,0.0,0.0,0.0,0.0,0.0
 ,230,YDR408C,0.0,0.0,0.0,0.0,0.0
 ,231,YLR157C,1.0,1.0,1.0,1.0,1.0
 ,232,YHR002W,1.0,1.0,1.0,1.0,1.0
 ,233,YBR126C,0.0,0.0,0.0,0.0,0.0
 ,234,YLL041C,1.0,1.0,1.0,1.0,0.0
 ,235,YDL055C,0.0,0.0,0.0,0.0,0.0
 ,236,YGL202W,1.0,1.0,1.0,1.0,1.0
 ,237,YNL141W,1.0,1.0,1.0,1.0,1.0
 ,238,YMR318C,1.0,1.0,1.0,1.0,1.0
 ,239,YCL018W,1.0,1.0,1.0,1.0,1.0
 ,240,YBR294W,1.0,1.0,1.0,1.0,1.0
 ,241,YDL067C,1.0,1.0,1.0,0.0,0.0
 ,242,YJL130C,1.0,1.0,1.0,1.0,1.0
 ,243,YKL060C,0.0,0.0,0.0,0.0,0.0
 ,244,YOL020W,1.0,1.0,1.0,1.0,1.0
 ,245,YDR135C,1.0,1.0,1.0,1.0,1.0
 ,246,YFL011W,1.0,1.0,1.0,1.0,1.0
 ,247,YEL021W,1.0,1.0,1.0,1.0,1.0
 ,248,YBL030C,1.0,1.0,1.0,1.0,1.0
 ,249,YMR256C,1.0,1.0,1.0,0.0,0.0
 ,250,YJR159W,1.0,1.0,1.0,1.0,1.0
 ,251,YNL270C,1.0,1.0,1.0,1.0,1.0
 ,252,YJL071W,1.0,1.0,1.0,1.0,1.0
 ,253,YKL182W,0.0,0.0,0.0,0.0,0.0
 ,254,YOR303W,1.0,1.0,1.0,1.0,1.0
 ,255,YPL275W,1.0,1.0,1.0,1.0,1.0
 ,256,YFR025C,1.0,1.0,1.0,1.0,1.0
 ,257,YMR013C,1.0,1.0,1.0,1.0,1.0
 ,258,YDR322C-A,1.0,1.0,1.0,1.0,1.0
 ,259,YER073W,1.0,1.0,1.0,1.0,1.0
 ,260,YLR260W,1.0,1.0,1.0,1.0,1.0
 ,261,YPL117C,0.0,0.0,0.0,0.0,0.0
 ,262,YGR007W,1.0,1.0,1.0,1.0,1.0
 ,263,YKL152C,1.0,1.0,1.0,1.0,1.0
 ,264,YLR450W,1.0,1.0,1.0,1.0,1.0
 ,265,YJR019C,1.0,1.0,1.0,1.0,1.0
 ,266,YBL098W,1.0,1.0,1.0,1.0,1.0
 ,267,YDL095W,1.0,1.0,1.0,1.0,1.0
 ,268,YOR270C,1.0,1.0,1.0,1.0,1.0
 ,269,YGL224C,1.0,1.0,1.0,1.0,1.0
 ,270,YNL268W,1.0,1.0,1.0,1.0,1.0
 ,271,YHR020W,1.0,1.0,1.0,1.0,1.0
 ,272,YKR039W,1.0,1.0,1.0,1.0,1.0
 ,273,YPL087W,1.0,1.0,1.0,1.0,1.0
 ,274,YDL178W,1.0,1.0,1.0,1.0,1.0
 ,275,YLL043W,1.0,1.0,1.0,1.0,1.0
 ,276,YPL258C,1.0,1.0,1.0,1.0,1.0
 ,277,YNR056C,1.0,1.0,1.0,1.0,1.0
 ,278,YML086C,1.0,1.0,1.0,1.0,1.0
 ,279,YPL097W,1.0,1.0,1.0,1.0,1.0
 ,280,YDR268W,1.0,1.0,1.0,1.0,1.0
 ,281,YJL216C,1.0,1.0,1.0,1.0,1.0
 ,282,YJL221C,1.0,1.0,1.0,1.0,1.0
 ,283,YER141W,1.0,1.0,1.0,1.0,1.0
 ,284,YDR204W,1.0,1.0,1.0,1.0,1.0
 ,285,YNL220W,0.0,0.0,0.0,0.0,0.0
 ,286,YMR293C,1.0,1.0,1.0,1.0,1.0
 ,287,YDR343C,1.0,1.0,1.0,1.0,1.0
 ,288,YGR060W,0.0,0.0,0.0,0.0,0.0
 ,289,YAL038W,1.0,1.0,1.0,1.0,1.0
 ,290,YCL064C,1.0,1.0,1.0,1.0,1.0
 ,291,YER174C,1.0,1.0,1.0,1.0,1.0
 ,292,YGL119W,1.0,1.0,1.0,1.0,1.0
 ,293,YML126C,0.0,0.0,0.0,0.0,0.0
 ,294,YHR044C,1.0,1.0,1.0,1.0,1.0
 ,295,YFR019W,1.0,1.0,1.0,1.0,1.0
 ,296,YNR019W,1.0,1.0,1.0,1.0,1.0
 ,297,YJR152W,1.0,1.0,1.0,1.0,1.0
 ,298,YBR199W,1.0,1.0,1.0,1.0,1.0
 ,299,YJR109C,1.0,1.0,1.0,1.0,1.0
 ,300,YCR048W,1.0,1.0,1.0,1.0,1.0
 ,301,YDL182W,1.0,1.0,1.0,1.0,1.0
 ,302,YER069W,0.0,0.0,0.0,0.0,0.0
 ,303,YJR148W,0.0,0.0,0.0,0.0,0.0
 ,304,YIL111W,1.0,1.0,1.0,1.0,1.0
 ,305,YOL097C,1.0,1.0,1.0,1.0,1.0
 ,306,YBR153W,0.0,0.0,0.0,0.0,0.0
 ,307,YLR354C,1.0,1.0,1.0,1.0,1.0
 ,308,YKR069W,1.0,1.0,1.0,1.0,1.0
 ,309,YJR158W,1.0,1.0,1.0,1.0,1.0
 ,310,YPR033C,1.0,1.0,1.0,1.0,1.0
 ,311,YMR085W,1.0,1.0,1.0,1.0,1.0
 ,312,YGL154C,0.0,0.0,0.0,0.0,0.0
 ,313,YPR062W,1.0,1.0,1.0,1.0,1.0
 ,314,YHR039C-A,1.0,1.0,1.0,1.0,1.0
 ,315,YNL202W,1.0,1.0,1.0,1.0,1.0
 ,316,YER023W,0.0,0.0,0.0,0.0,0.0
 ,317,YBR026C,1.0,1.0,1.0,1.0,1.0
 ,318,YCR034W,0.0,0.0,0.0,0.0,0.0
 ,319,YER060W,1.0,1.0,1.0,1.0,1.0
 ,320,YBR069C,1.0,1.0,1.0,1.0,1.0
 ,321,YGR177C,1.0,1.0,1.0,1.0,1.0
 ,322,YJR133W,1.0,1.0,1.0,1.0,1.0
 ,323,YBR176W,1.0,1.0,1.0,1.0,1.0
 ,324,YGL040C,1.0,1.0,1.0,1.0,1.0
 ,325,YLR133W,1.0,1.0,1.0,1.0,1.0
 ,326,YDL215C,1.0,1.0,1.0,1.0,1.0
 ,327,YML004C,1.0,1.0,1.0,1.0,1.0
 ,328,YPL057C,1.0,1.0,1.0,1.0,1.0
 ,329,YDR058C,1.0,1.0,1.0,1.0,1.0
 ,330,YDR315C,1.0,1.0,1.0,1.0,1.0
 ,331,YGR255C,1.0,1.0,1.0,1.0,1.0
 ,332,YBR161W,1.0,1.0,1.0,1.0,1.0
 ,333,YNL169C,1.0,1.0,1.0,1.0,1.0
 ,334,YCL069W,1.0,1.0,1.0,1.0,1.0
 ,335,YNL104C,1.0,1.0,1.0,1.0,1.0
 ,336,YML081C-A,1.0,1.0,1.0,0.0,0.0
 ,337,YDL045C,1.0,1.0,1.0,1.0,1.0
 ,338,YLR180W,1.0,1.0,1.0,1.0,1.0
 ,339,YOR245C,1.0,1.0,1.0,1.0,1.0
 ,340,YGR282C,1.0,1.0,1.0,1.0,1.0
 ,341,YDL198C,1.0,1.0,1.0,1.0,1.0
 ,342,YOR180C,1.0,1.0,1.0,1.0,1.0
 ,343,YNR043W,0.0,0.0,-0.0,0.0,0.0
 ,344,YOR360C,1.0,1.0,1.0,1.0,1.0
 ,345,YOR335C,1.0,1.0,1.0,1.0,1.0
 ,346,UNKNOWN,1.0,1.0,1.0,1.0,1.0
 ,347,YGR204W,-0.0,0.0,0.0,-0.0,0.0
 ,348,YJL005W,1.0,1.0,1.0,1.0,1.0
 ,349,YOL065C,1.0,1.0,1.0,1.0,1.0
 ,350,YPL028W,0.0,0.0,0.0,0.0,0.0
 ,351,YFL001W,1.0,1.0,1.0,1.0,1.0
 ,352,YKL217W,1.0,1.0,1.0,1.0,1.0
 ,353,YJR016C,0.0,0.0,0.0,0.0,0.0
 ,354,YDL100C,1.0,1.0,1.0,1.0,1.0
 ,355,YOR095C,-0.0,0.0,0.0,0.0,0.0
 ,356,YEL038W,1.0,1.0,1.0,1.0,1.0
 ,357,YGR185C,1.0,1.0,1.0,1.0,1.0
 ,358,YOR377W,1.0,1.0,1.0,1.0,1.0
 ,359,YPL265W,1.0,1.0,1.0,1.0,1.0
 ,360,YML008C,1.0,1.0,1.0,1.0,1.0
 ,361,YDR441C,1.0,1.0,1.0,1.0,1.0
 ,362,YMR296C,1.0,1.0,1.0,1.0,1.0
 ,363,YPL023C,1.0,1.0,1.0,1.0,1.0
 ,364,YER090W,0.0,0.0,0.0,0.0,0.0
 ,365,YGR199W,1.0,1.0,1.0,1.0,1.0
 ,366,YPL212C,1.0,1.0,1.0,1.0,1.0
 ,367,YMR145C,1.0,1.0,1.0,1.0,1.0
 ,368,YNL280C,0.0,0.0,0.0,0.0,0.0
 ,369,YDR007W,0.0,0.0,0.0,0.0,0.0
 ,370,YIL160C,1.0,1.0,1.0,1.0,1.0
 ,371,YNR072W,1.0,1.0,1.0,1.0,1.0
 ,372,YML022W,1.0,1.0,1.0,1.0,1.0
 ,373,YDR062W,1.0,1.0,1.0,1.0,1.0
 ,374,YPR159W,1.0,1.0,1.0,1.0,1.0
 ,375,YDR017C,1.0,1.0,1.0,1.0,1.0
 ,376,YMR303C,1.0,1.0,1.0,1.0,1.0
 ,377,YML123C,1.0,1.0,1.0,1.0,1.0
 ,378,YPR167C,1.0,1.0,1.0,1.0,1.0
 ,379,YER087W,1.0,1.0,1.0,1.0,1.0
 ,380,YHR190W,0.0,0.0,0.0,0.0,0.0
 ,381,YHL011C,1.0,1.0,1.0,1.0,1.0
 ,382,YMR313C,1.0,1.0,1.0,1.0,1.0
 ,383,YGR143W,1.0,1.0,1.0,1.0,1.0
 ,384,YHR007C,0.0,0.0,0.0,0.0,0.0
 ,385,YBR205W,1.0,1.0,1.0,1.0,1.0
 ,386,YOR163W,1.0,1.0,1.0,1.0,1.0
 ,387,YOR321W,1.0,1.0,1.0,1.0,1.0
 ,388,YBR003W,1.0,1.0,1.0,1.0,1.0
 ,389,YDL085W,1.0,1.0,1.0,1.0,1.0
 ,390,YBR183W,1.0,1.0,1.0,1.0,1.0
 ,391,YGL256W,1.0,1.0,1.0,1.0,1.0
 ,392,YGR260W,1.0,1.0,1.0,1.0,1.0
 ,393,YER099C,1.0,1.0,1.0,1.0,1.0
 ,394,YBL013W,1.0,1.0,1.0,1.0,1.0
 ,395,YJR048W,1.0,1.0,1.0,1.0,1.0
 ,396,YNL256W,0.0,0.0,0.0,0.0,0.0
 ,397,YLR174W,0.0,0.0,-0.0,-0.0,0.0
 ,398,YLL028W,1.0,1.0,1.0,1.0,1.0
 ,399,YBR218C,1.0,1.0,1.0,1.0,1.0
 ,400,YHR001W-A,1.0,1.0,1.0,0.0,0.0
 ,401,YMR207C,1.0,1.0,1.0,1.0,1.0
 ,402,YGR286C,1.0,1.0,1.0,1.0,1.0
 ,403,YCR037C,1.0,1.0,1.0,1.0,1.0
 ,404,YIR031C,1.0,1.0,1.0,1.0,1.0
 ,405,YLR359W,0.0,-0.0,-0.0,0.0,0.0
 ,406,YDL205C,1.0,1.0,1.0,1.0,1.0
 ,407,YMR217W,0.0,0.0,0.0,0.0,0.0
 ,408,YER170W,1.0,1.0,1.0,1.0,1.0
 ,409,YBR039W,1.0,1.0,1.0,0.0,0.0
 ,410,YER024W,1.0,1.0,1.0,1.0,1.0
 ,411,YKL004W,1.0,1.0,1.0,1.0,1.0
 ,412,YOR136W,1.0,1.0,1.0,1.0,1.0
 ,413,YNL142W,1.0,1.0,1.0,1.0,1.0
 ,414,YPL234C,1.0,1.0,1.0,1.0,1.0
 ,415,YOR209C,1.0,1.0,1.0,1.0,1.0
 ,416,YGL026C,0.0,0.0,0.0,0.0,0.0
 ,417,YHR094C,1.0,1.0,1.0,1.0,1.0
 ,418,Q0045,1.0,1.0,1.0,0.0,0.0
 ,419,YGR138C,1.0,1.0,1.0,1.0,1.0
 ,420,YLR258W,1.0,1.0,1.0,1.0,1.0
 ,421,YGL125W,1.0,1.0,1.0,1.0,1.0
 ,422,YNL101W,1.0,1.0,1.0,1.0,1.0
 ,423,YBR127C,1.0,1.0,1.0,1.0,1.0
 ,424,YLR164W,1.0,1.0,1.0,1.0,1.0
 ,425,YNL318C,1.0,1.0,1.0,1.0,1.0
 ,426,YJL137C,1.0,1.0,1.0,1.0,1.0
 ,427,YGL009C,1.0,1.0,1.0,1.0,1.0
 ,428,YLR028C,1.0,1.0,1.0,1.0,1.0
 ,429,YDR497C,1.0,1.0,1.0,1.0,1.0
 ,430,YBR115C,0.0,0.0,0.0,0.0,0.0
 ,431,YKL055C,1.0,1.0,1.0,1.0,1.0
 ,432,YGR192C,1.0,1.0,1.0,1.0,1.0
 ,433,YFL053W,1.0,1.0,1.0,1.0,1.0
 ,434,YDR368W,1.0,1.0,1.0,1.0,1.0
 ,435,YBL045C,1.0,1.0,1.0,0.0,0.0
 ,436,YGR043C,1.0,1.0,1.0,1.0,1.0
 ,437,YPR184W,1.0,1.0,1.0,1.0,1.0
 ,438,YAR071W,1.0,1.0,1.0,1.0,1.0
 ,439,YLR060W,1.0,1.0,1.0,1.0,1.0
 ,440,YOR184W,1.0,1.0,1.0,1.0,1.0
 ,441,YJL167W,0.0,0.0,0.0,0.0,0.0
 ,442,Q0130,1.0,1.0,1.0,0.0,0.0
 ,443,YBR149W,1.0,1.0,1.0,1.0,1.0
 ,444,YKL035W,1.0,1.0,1.0,1.0,1.0
 ,445,YPR140W,1.0,1.0,1.0,1.0,1.0
 ,446,YPR047W,1.0,1.0,1.0,1.0,1.0
 ,447,YOR241W,1.0,1.0,1.0,1.0,1.0
 ,448,YDR044W,1.0,1.0,1.0,1.0,1.0
