 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,137,YIL125W,0.986498101,0.986498102,1,0.999999999,
 ,138,YDL210W,1,0,0,1,
 ,139,YDR376W,1,0,0,1,
 ,140,YKR058W,1,0,0,1,
 ,141,YKL194C,1,0,0,1,
 ,142,YHR208W,0,1,1,1,
 ,143,YNR013C,1,0,0,1,
 ,144,YPL148C,1,0,1,1,
 ,145,YPL271W,0,0,0,0,
 ,146,YLL061W,1,0,0,0,
 ,147,YAL062W,1,0,0,1,
 ,148,YLR237W,1,0,0,1,
 ,149,YDR531W,0,0.999999999,1.000000003,0.999999997,
 ,150,YIL013C,1,0,0,1,
 ,151,YFL055W,1,0,0,1,
 ,152,YOL136C,1,0,0,1,
 ,153,YOR221C,1,1,0,0.999999998,
 ,154,YOR071C,1,0,0,1,
 ,155,YPL214C,1,1,0.999999999,1,
 ,156,YBR293W,1,0,0,1,
 ,157,YGL084C,1,0,0,1,
 ,158,YPL092W,1,0,0,0,
 ,159,YGR019W,1,1,1,0.999999998,
 ,160,YGL191W,0.757180381,0.75718038,0,0,
 ,161,YOL064C,1,1,1,0,
 ,162,YDL142C,1,0,0,1,
 ,163,YMR056C,1,0,0,1,
 ,164,YJR001W,0,1,0.999999998,0.999999999,
 ,165,YHR123W,1,0,0,1,
 ,166,YDL174C,1,0,0,1,
 ,167,YER091C,0,1,1,1,
 ,168,YGR256W,1,0,0,1,
 ,169,YLR209C,0,1,0.999999998,0,
 ,170,YDL103C,1,0,0,1,
 ,171,YOR128C,-7.72E-12,-2.02E-11,-1.11E-11,-3.09E-11,
 ,172,YDL171C,0,1,0,0,
 ,173,YML082W,1,1,0.999999988,1.000000004,
 ,174,YBR021W,0,0,0,-6.63E-10,
 ,175,YLL057C,1,0,0,1,
 ,176,YEL039C,1,0,0,1,
 ,177,YPL061W,0.998582907,0.998582907,0.999165366,0.952110373,
 ,178,YBR296C,1,0,0,1,
 ,179,YLR308W,1,0,0,1,
 ,180,YDR454C,0,3.40E-12,-1.85E-10,-1.25E-10,
 ,181,YNL277W,0,1,0,0.999999999,
 ,182,YER055C,1,0,0,1,
 ,183,YHR011W,1,0,0,1,
 ,184,YLL012W,1,0,0,1,
 ,185,YLR438W,0.999484995,0.999484996,0.99951323,0.999642361,
 ,186,YJL052W,1,0,0,1,
 ,187,YJL088W,0,0,0,0,
 ,188,YDR226W,-1.98E-11,8.64E-11,-6.62E-11,-5.63E-11,
 ,189,YJR105W,0,0.99976604,0.999778863,0.999837542,
 ,190,YGL186C,1,0,0,1,
 ,191,YMR062C,-3.73E-11,-1.71E-11,-3.70E-11,0,
 ,192,YDR234W,0,0,0,0,
 ,193,YGR209C,1,0,0,1,
 ,194,YLR305C,1,0,0,1,
 ,195,YOL140W,-3.73E-11,-1.71E-11,-3.70E-11,0,
 ,196,YIR029W,1,0,0,1,
 ,197,YGR155W,0.999150699,0,0.999921943,0,
 ,198,YBR036C,1,0,0,1,
 ,199,YMR300C,1.33E-12,-6.87E-12,-1.24E-11,0,
 ,200,YGR032W,1,0,0,1,
 ,201,YGR267C,-1.71E-11,-1.14E-11,-4.36E-11,-3.15E-11,
 ,202,YGR125W,1,0,0,1,
 ,203,YNL292W,1,0,0,1,
 ,204,YLR342W,1,0,0,1,
 ,205,YPR006C,1,1,1.000000001,0.999999999,
 ,206,YCR028C,1,1,0,0.999999997,
 ,207,YJL153C,0,0,0,0.006204238,
 ,208,YML054C,0,1,1,0.999999904,
 ,209,YAL023C,1,0,0,1,
 ,210,YDL181W,0,0,0,0,
 ,211,YHR074W,0,1,0.999999998,0,
 ,212,YFR030W,1,0,0,1,
 ,213,YBR256C,0,0,0,0,
 ,214,YPR113W,0,0,0,0,
 ,215,YOR236W,-6.58E-11,-1.35E-11,-6.55E-11,-2.00E-10,
 ,216,YBR038W,1,0,0,1,
 ,217,YBR244W,1,0,0,1,
 ,218,YPL053C,1,0,0,1,
 ,219,YMR246W,1,0,0,1,
 ,220,YPR020W,1,0,0,1,
 ,221,YKL085W,1,1,0.999999998,0.999999997,
 ,222,YLR027C,0.999645612,0.999645612,0.992268191,0.99662278,
 ,223,YBR284W,1,0,0,1,
 ,224,YEL047C,0.999999999,0,0.999999995,0.999999999,
 ,225,YLR351C,1,0,0,1,
 ,226,YBL064C,1,1,0.999999998,1,
 ,227,YPR036W,1,0,0,1,
 ,228,YNL130C,1,0,0,1,
 ,229,YHR018C,0,0,0,0,
 ,230,YDR408C,1.33E-12,-6.87E-12,-1.24E-11,0,
 ,231,YLR157C,1,0,0,1,
 ,232,YHR002W,0.999051078,0.999051078,0.999103084,0,
 ,233,YBR126C,0,0,0,0,
 ,234,YLL041C,0.981413212,0.981413212,1.000000004,-4.69E-10,
 ,235,YDL055C,0,0,0,0,
