 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,106,YMR113W,0.0,0.0,0.0,0.0
 ,107,YLR300W,0.0,0.0,0.0,0.0
 ,108,YMR084W,0.0,0.0,0.0,0.0
 ,109,YDR019C,0.9999999993985837,0.0,0.0,0.0
 ,110,YGR010W,0.9999999992893265,0.0,0.9999999997478988,0.0
 ,111,YBR019C,0.0,0.0,0.9999999976518635,0.0
 ,112,YER119C,0.0,0.0,0.0,0.0
 ,113,YDR380W,0.0,0.0,0.0,0.0
 ,114,YGR191W,0.0,0.0,0.0,0.0
 ,115,YAL060W,0.9999999998118744,0.0,1.00000000115922,0.0
 ,116,YMR006C,0.0,0.0,0.0,0.0
 ,117,YJR130C,0.0,0.9999999997515023,0.9999999975556795,0.9999999906029791
 ,118,YOR388C,0.0,0.0,0.0,0.0
 ,119,YHR063C,0.9999999995054335,0.0,0.0,0.0
 ,120,YIL172C,0.0,0.0,0.0,0.0
 ,121,YLR011W,0.0,0.0,0.0,0.0
 ,122,YJL134W,0.0,0.0,0.0,0.0
 ,123,YKL146W,0.0,0.0,0.0,0.0
 ,124,YBL068W,0.0,0.0,0.0,0.0
 ,125,YPR183W,0.0,0.0,0.0,0.0
 ,126,YHR104W,0.0,0.0,0.9999999984668568,0.9999999994774581
 ,127,YDL004W,0.0,0.0,0.0,0.0
 ,128,YEL017C-A,0.0,0.0,1.0000000003690248,0.0
 ,129,YJL166W,0.0,0.0,0.0,0.0
 ,130,YJL200C,0.0,0.0,0.0,0.0
 ,131,YKL080W,0.0,0.0,0.0,0.0
 ,132,YDR403W,0.0,0.0,0.9999999979522575,0.0
 ,133,YGR096W,0.0,0.0,0.0,0.0
 ,134,YPL059W,0.9999999993881755,0.9999999990057479,0.9999999973913117,0.9999999968774861
 ,135,YLR377C,0.0,1.0000000001851899,0.0,0.0
 ,136,YGL205W,0.0,0.99999999984951,0.0,0.0
 ,137,YIL125W,0.9864981013742039,0.0,1.000000000266567,0.0
 ,138,YDL210W,0.0,0.0,0.0,0.0
 ,139,YDR376W,0.0,0.0,0.0,0.0
 ,140,YKR058W,0.0,0.0,0.0,0.0
 ,141,YKL194C,0.0,0.0,0.0,0.0
 ,142,YHR208W,0.999999999733021,1.0000000002231395,1.0000000000000024,0.0
 ,143,YNR013C,0.0,0.0,0.0,0.0
 ,144,YPL148C,0.0,0.0,0.0,0.0
 ,145,YPL271W,0.0,0.0,0.0,0.0
 ,146,YLL061W,0.0,0.0,0.0,1.0000000172082797
 ,147,YAL062W,0.0,0.0,0.0,0.0
 ,148,YLR237W,0.0,0.0,0.0,0.0
 ,149,YDR531W,0.9999999995952136,0.0,0.0,0.0
 ,150,YIL013C,0.0,0.0,0.0,0.0
 ,151,YFL055W,0.0,0.0,0.0,0.0
 ,152,YOL136C,0.0,0.0,0.0,0.0
 ,153,YOR221C,0.0,0.9999999999577261,0.0,0.0
 ,154,YOR071C,0.0,0.0,0.0,0.0
 ,155,YPL214C,0.0,0.0,0.0,0.9999999994774834
 ,156,YBR293W,0.0,0.0,0.0,0.0
 ,157,YGL084C,0.0,0.0,0.0,0.0
 ,158,YPL092W,0.0,0.0,0.0,0.9999999988305375
 ,159,YGR019W,0.9999999997167353,0.0,0.0,0.0
 ,160,YGL191W,0.0,0.0,0.0,0.0
 ,161,YOL064C,0.0,0.0,0.0,0.9999999998881138
 ,162,YDL142C,0.0,0.0,0.0,0.0
 ,163,YMR056C,0.0,0.0,0.0,0.0
 ,164,YJR001W,0.0,0.9999999995117791,0.0,0.9999999991370389
 ,165,YHR123W,0.0,0.0,0.0,0.0
 ,166,YDL174C,0.0,0.0,0.0,0.0
 ,167,YER091C,0.0,0.0,1.0000000000176994,0.0
 ,168,YGR256W,0.0,0.0,0.0,0.0
 ,169,YLR209C,0.0,0.9999999998454676,0.0,0.9999999978770803
 ,170,YDL103C,0.0,0.0,0.0,0.0
 ,171,YOR128C,0.0,0.0,0.0,0.0
